Date,Headline,Negative,Neutral,Positive,Compound,Overall Sentiment
2024-10-07,Harris calls for end to violence on 7 October anniversary,0.313,0.687,0.0,-0.6249,Negative
2024-10-07,Ceremony to mark two years since Creeslough tragedy,0.386,0.614,0.0,-0.6597,Negative
2024-10-07,Security guards to begin operating on Dublin Bus services,0.0,0.769,0.231,0.34,Positive
2024-10-07,Funeral of former minister Mary O'Rourke to take place,0.238,0.762,0.0,-0.3612,Negative
2024-10-07,"Plumbers, pipefitters, welders engaging in further strike",0.169,0.562,0.27,0.2263,Positive
2024-10-07,Duff calls for one last push from Shelbourne players,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Hatton survives late stumble to win Alfred Dunhill,0.0,0.648,0.352,0.5859,Positive
2024-10-07,Spurs' Brighton collapse Postecoglou's 'worst defeat',0.774,0.226,0.0,-0.8834,Negative
2024-10-07,Hoops earn another victory against faltering Shelbourne,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Corkonians bid farewell to 'iconic' Lennox takeaway,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Corkonians bid farewell to 'iconic' Lennox takeaway,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Trump returns to site of assassination attempt,0.394,0.606,0.0,-0.5994,Negative
2024-10-07,Smoke rises across Beirut after Israeli strike,0.2,0.8,0.0,-0.128,Negative
2024-10-07,Relief for Kevin Doherty as Drogheda United reach final,0.0,0.462,0.538,0.7184,Positive
2024-10-07,Flooding in Bantry causing businesses to be 'destroyed',0.314,0.686,0.0,-0.4939,Negative
2024-10-07,James Keddy proud of gallant Wexford in defeat,0.217,0.362,0.42,0.4215,Positive
2024-10-07,Thousands demonstrate in solidarity with Palestine,0.0,0.694,0.306,0.296,Positive
2024-10-07,Fran McNulty and Edmund Heaphy report live from the Middle East,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Contribution of community midwives celebrated at Mayo museum,0.0,0.654,0.346,0.5719,Positive
2024-10-07,Commuters give their view on e-scooter transport ban,0.34,0.66,0.0,-0.5574,Negative
2024-10-07,Thousands demonstrate in support of Palestine,0.0,0.649,0.351,0.4019,Positive
2024-10-07,Flooding reported amid Status Orange alert,0.0,0.694,0.306,0.296,Positive
2024-10-07,Breen pre Canada,0.0,1.0,0.0,0.0,Neutral
2024-10-07,'Immense performance',0.0,1.0,0.0,0.0,Neutral
2024-10-07,Fair City preview clip,0.0,0.566,0.434,0.3182,Positive
2024-10-07,Prime Time's Fran McNulty reports live from Beirut,0.0,1.0,0.0,0.0,Neutral
2024-10-07,Bohemians-Derry collide in Dalymount semi-final,0.245,0.755,0.0,-0.0772,Negative
2024-10-07,Dermot Kennedy says he's `very proud' of new album,0.0,0.702,0.298,0.5256,Positive
