Date,Headline,Polarity,Subjectivity,Overall Sentiment
2024-09-11,"Apple must pay Ireland €13bn in unpaid taxes, court rules",0.2,0.4,Positive
2024-09-11,Cabinet set to approve ban on sale of disposable vapes,0.0,0.0,Neutral
2024-09-11,The breathtaking waste of batteries in disposable vapes,0.4,0.5,Positive
2024-09-11,Preview: Ireland can do talking on pitch in Greece game,-0.4,0.4,Negative
2024-09-11,Republic of Ireland v Greece: All you need to know,0.0,0.0,Neutral
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.0,0.0,Neutral
2024-09-11,Alleged attacker of Ugandan Olympian dies in hospital,-0.1,0.1,Negative
2024-09-11,EU court upholds Google's €2.4 billion EU antitrust fine,0.4166666666666667,0.5,Positive
2024-09-11,Seanad voting rights to be extended to all graduates,0.0,0.0,Neutral
2024-09-11,What would a Trump presidency mean for international relations?,-0.15625,0.34375,Negative
2024-09-11,"Star Wars, Lion King actor James Earl Jones dies at 93",0.0,0.0,Neutral
2024-09-11,George Lucas leads tributes to James Earl Jones,0.0,0.0,Neutral
2024-09-11,Harris arrives in Pennsylvania for crucial Trump clash,0.0,1.0,Neutral
2024-09-11,3 things you can clean in the home with a lemon,0.3666666666666667,0.7000000000000001,Positive
2024-09-11,What it says in the papers,0.0,0.0,Neutral
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",0.21818181818181817,0.32727272727272727,Positive
2024-09-11,"Inner City Festival of Community Arts takes place in Dublin, 1979",0.0,0.16666666666666666,Neutral
2024-09-11,Australia plans social media minimum age limit,0.03333333333333333,0.06666666666666667,Positive
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,0.0,0.0,Neutral
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,0.0,0.0,Neutral
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.0,0.0,Neutral
2024-09-11,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-11,"Princess of Wales finishes chemotherapy, hopes to 'stay cancer free'",0.4,0.8,Positive
2024-09-11,'He came at me with the knife' - Gardaí awarded medals for bravery,0.0,0.0,Neutral
2024-09-11,How old will you be before you own a home of your own?,0.4333333333333333,0.7333333333333334,Positive
2024-09-11,Scotland's 'Sphinx' snow patch is vanishing,0.0,0.0,Neutral
2024-09-11,Fair City celebrates 35 years with explosive promo,0.7,0.9,Positive
2024-09-11,Kasey McAteer reflects on 'dream' debut,0.0,0.0,Neutral
2024-09-11,Typhoon Yagi leaves dozens dead in Vietnam,-0.2,0.4,Negative
2024-09-11,The Late Late Show: Landing 13 Sept | RTÉ One & RTÉ Player,-0.3,0.6,Negative
2024-09-11,Trump 'very offended' by Putin's support of Harris,0.2,0.3,Positive
2024-09-11,Heimir Hallgrimsson: Ireland lacked confidence and initiative,0.0,0.0,Neutral
2024-09-11,Paris 2024: Britney Arendse happy after three PBs and fourth place,0.4,0.5,Positive
2024-09-11,Happy return to Lansdowne Road for Lee Carsley,0.8,1.0,Positive
2024-09-11,Real intention to reset British-Irish relations - UK PM,0.2,0.30000000000000004,Positive
2024-09-11,Republic of Ireland v Greece: All you need to know,0.0,0.0,Neutral
2024-09-11,Preview: Ireland can do talking on pitch in Greece game,-0.4,0.4,Negative
2024-09-11,Who's the boss? Dug-out dynamics painted in grey,-0.05,0.1,Negative
2024-09-11,Jovanovic praises Irish tradition ahead of clash,0.0,0.0,Neutral
2024-09-11,Cunningham says Hallgrimsson got approach wrong,-0.5,0.9,Negative
2024-09-11,"Apple must pay Ireland €13bn in unpaid taxes, court rules",0.2,0.4,Positive
2024-09-11,Cabinet set to approve ban on sale of disposable vapes,0.0,0.0,Neutral
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.0,0.0,Neutral
2024-09-11,Alleged attacker of Ugandan Olympian dies in hospital,-0.1,0.1,Negative
2024-09-11,EU court upholds Google's €2.4 billion EU antitrust fine,0.4166666666666667,0.5,Positive
2024-09-11,Preview: Ireland can do talking on pitch in Greece game,-0.4,0.4,Negative
2024-09-11,Who's the boss? Dug-out dynamics painted in grey,-0.05,0.1,Negative
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",0.21818181818181817,0.32727272727272727,Positive
2024-09-11,NFL: 49ers prevent winning Rodgers return,0.5,0.75,Positive
2024-09-11,Kane eyeing 100 England goals ahead of milestone cap,0.0,0.0,Neutral
2024-09-11,Over 50% feel 'fearful' of palliative care - survey,-0.9,1.0,Negative
2024-09-11,Carlow celebrates its prize winning rain gardens,0.5,0.75,Positive
2024-09-11,Kildare Oasis fans spent most on tickets - AIB,0.2,0.3,Positive
2024-09-11,Three arrested in connection with Wicklow shooting,0.0,0.0,Neutral
2024-09-11,Man arrested over fatal Dublin hit-and-run,0.0,0.0,Neutral
2024-09-11,A Quiet Place: Day One is a visceral gut-punch,0.0,0.3333333333333333,Neutral
2024-09-11,Sing Sing's Colman Domingo looks like the Oscar winner,0.0,0.0,Neutral
2024-09-11,"Alien: Romulus: In space, no one can see you shrug",-0.25,0.75,Negative
2024-09-11,Josh Hartnett plans his great escape in Trap,0.8,0.75,Positive
2024-09-11,"Apple must pay Ireland €13bn in unpaid taxes, court rules",0.2,0.4,Positive
2024-09-11,X Factor finalist Ben Thapa dies aged 42,-0.1,0.4,Negative
2024-09-11,Cabinet set to approve ban on sale of disposable vapes,0.0,0.0,Neutral
2024-09-11,Sky Ireland launches mobile phone service in Ireland,0.0,0.0,Neutral
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",0.21818181818181817,0.32727272727272727,Positive
2024-09-11,Harris arrives in Pennsylvania for crucial Trump clash,0.0,1.0,Neutral
2024-09-11,Woman to go on trial in learner permit fraud case,0.0,0.0,Neutral
2024-09-11,George Lucas leads tributes to James Earl Jones,0.0,0.0,Neutral
2024-09-11,Soap star Ali Bastian diagnosed with breast cancer,0.0,0.0,Neutral
2024-09-11,Cunningham says Hallgrimsson got approach wrong,-0.5,0.9,Negative
2024-09-11,Scotland's 'Sphinx' snow patch is vanishing,0.0,0.0,Neutral
2024-09-11,"Princess of Wales finishes chemotherapy, hopes to 'stay cancer free'",0.4,0.8,Positive
2024-09-11,Work to identify historic shipwrecks on Portmarnock beach,0.0,0.0,Neutral
2024-09-11,'He came at me with the knife' - Gardaí awarded medals for bravery,0.0,0.0,Neutral
2024-09-11,How old will you be before you own a home of your own?,0.4333333333333333,0.7333333333333334,Positive
2024-09-11,Supporters gather to give Paralympians a hero's welcome,0.8,0.9,Positive
2024-09-11,Dearbhaile Brady's family await her Paralympic return,0.0,0.0,Neutral
2024-09-11,Typhoon Yagi leaves dozens dead in Vietnam,-0.2,0.4,Negative
2024-09-11,Alleged 'Russian spy' whale found dead off Norway,-0.10000000000000002,0.16666666666666666,Negative
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.0,0.0,Neutral
2024-09-11,Cunningham: Hallgrimsson made a mistake | Drivetime,0.0,0.0,Neutral
2024-09-11,Corporal Punishment,0.0,0.0,Neutral
2024-09-11,Temperatures to plummet this week,0.0,0.0,Neutral
2024-09-11,The swing states that will decide the US Presidential election,0.0,0.0,Neutral
2024-09-11,Green Party wants parents to get €560 on the birth of a new child,0.04545454545454545,0.28484848484848485,Positive
2024-09-11,What job will Michael McGrath get in Europe?,0.0,0.0,Neutral
2024-09-11,Great rock 'n' roll feuds,0.8,0.75,Positive
2024-09-11,"University funding model: ""You wouldn't teach it in first year commerce""",0.25,0.3333333333333333,Positive
2024-09-11,Great experiments: how the atom was split,0.8,0.75,Positive
2024-09-11,Trouble for Keir Starmer over cuts to pensioners' fuel allowance,-0.2,0.2,Negative
2024-09-11,We and our partners process data to provide:,0.0,0.0,Neutral
2024-09-11,Manage Consent Preferences,0.0,0.0,Neutral
2024-09-11,Cookie List,0.0,0.0,Neutral
