Date,Headline,Negative,Neutral,Positive,Compound,Overall Sentiment
2024-09-11,Sky Ireland launches mobile phone service in Ireland,0.0,1.0,0.0,0.0,Neutral
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",0.0,0.654,0.346,0.5719,Positive
2024-09-11,Harris arrives in Pennsylvania for crucial Trump clash,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Woman to go on trial in learner permit fraud case,0.297,0.703,0.0,-0.5859,Negative
2024-09-11,George Lucas leads tributes to James Earl Jones,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Soap star Ali Bastian diagnosed with breast cancer,0.386,0.614,0.0,-0.6597,Negative
2024-09-11,Cunningham says Hallgrimsson got approach wrong,0.383,0.617,0.0,-0.4767,Negative
2024-09-11,Scotland's 'Sphinx' snow patch is vanishing,0.0,1.0,0.0,0.0,Neutral
2024-09-11,"Princess of Wales finishes chemotherapy, hopes to 'stay cancer free'",0.251,0.4,0.349,0.1779,Positive
2024-09-11,Work to identify historic shipwrecks on Portmarnock beach,0.0,1.0,0.0,0.0,Neutral
2024-09-11,'He came at me with the knife' - Gardaí awarded medals for bravery,0.0,0.651,0.349,0.7096,Positive
2024-09-11,How old will you be before you own a home of your own?,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Supporters gather to give Paralympians a hero's welcome,0.0,0.504,0.496,0.7096,Positive
2024-09-11,Dearbhaile Brady's family await her Paralympic return,0.0,0.811,0.189,0.1027,Positive
2024-09-11,Typhoon Yagi leaves dozens dead in Vietnam,0.417,0.583,0.0,-0.6486,Negative
2024-09-11,Alleged 'Russian spy' whale found dead off Norway,0.381,0.619,0.0,-0.6486,Negative
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.417,0.583,0.0,-0.6124,Negative
2024-09-11,Cunningham: Hallgrimsson made a mistake | Drivetime,0.286,0.714,0.0,-0.34,Negative
2024-09-11,Corporal Punishment,0.762,0.238,0.0,-0.4939,Negative
2024-09-11,Temperatures to plummet this week,0.0,1.0,0.0,0.0,Neutral
2024-09-11,The swing states that will decide the US Presidential election,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Green Party wants parents to get €560 on the birth of a new child,0.0,0.828,0.172,0.4019,Positive
2024-09-11,What job will Michael McGrath get in Europe?,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Great rock 'n' roll feuds,0.253,0.316,0.432,0.4019,Positive
2024-09-11,"University funding model: ""You wouldn't teach it in first year commerce""",0.0,1.0,0.0,0.0,Neutral
2024-09-11,Great experiments: how the atom was split,0.0,0.594,0.406,0.6249,Positive
2024-09-11,Trouble for Keir Starmer over cuts to pensioners' fuel allowance,0.38,0.62,0.0,-0.5994,Negative
2024-09-11,We and our partners process data to provide:,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Manage Consent Preferences,0.0,0.513,0.487,0.2263,Positive
2024-09-11,Cookie List,0.0,1.0,0.0,0.0,Neutral
