Date,Headline,Negative,Neutral,Positive,Compound,Overall Sentiment
2024-09-30,Hamas leader in Lebanon killed in Israeli strike,0.5,0.5,0.0,-0.7184,Negative
2024-09-30,"Live
UN: 100,000 flee Lebanon for Syria amid Israeli strikes",0.217,0.783,0.0,-0.3612,Negative
2024-09-30,US singer-songwriter Kris Kristofferson dies at 88,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Streisand and Parton among tributes to Kristofferson,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Ireland stun world champions New Zealand in WXV1,0.0,0.673,0.327,0.5267,Positive
2024-09-30,Free schoolbook scheme set to be extended to senior cycle,0.0,0.732,0.268,0.5106,Positive
2024-09-30,Maximum sentences for knife-related offences increases,0.316,0.526,0.158,-0.296,Negative
2024-09-30,Asking prices for homes rose 3.1% in third quarter - Daft,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Why it would be a mistake for Israel to invade Lebanon,0.194,0.806,0.0,-0.34,Negative
2024-09-30,What happened when Israel invaded Lebanon in 1982?,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Kris Kristofferson recalls comforting Sinéad O'Connor,0.0,0.649,0.351,0.4019,Positive
2024-09-30,Kris Kristofferson on the Late Late Show in 1993,0.0,1.0,0.0,0.0,Neutral
2024-09-30,"Katie Hannon on grief, resilience and being an optimist",0.235,0.515,0.25,0.0516,Positive
2024-09-30,Upfront With Katie Hannon on RTÉ Player,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Parrott finds the net again for AZ Alkmaar,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Budget set to include two double child benefit payments,0.0,0.727,0.273,0.4588,Positive
2024-09-30,SpaceX mission to rescue stranded astronauts docks at ISS,0.0,0.708,0.292,0.5106,Positive
2024-09-30,Longest-serving death row inmate says acquittal 'victory',0.394,0.606,0.0,-0.5994,Negative
2024-09-30,Hurricane Helene causes major damage in North Carolina,0.333,0.667,0.0,-0.5413,Negative
2024-09-30,Hurricane Helene causes major damage in North Carolina,0.333,0.667,0.0,-0.5413,Negative
2024-09-30,Haka world record set in New Zealand,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Space X capsule docks at international Space Station,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Creeslough families 'cannot wait' like Stardust relatives,0.26,0.74,0.0,-0.2755,Negative
2024-09-30,"Young Irish citizen ""stuck"" in Lebanon with her family",0.2,0.8,0.0,-0.25,Negative
2024-09-30,Young baker hopes to turn TikTok success into storefront,0.0,0.519,0.481,0.7579,Positive
2024-09-30,Taoiseach indicates larger cost-of-living package,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Boat runs aground in Dunmore East amid Status Orange warning,0.211,0.789,0.0,-0.34,Negative
2024-09-30,McDonald says SF would abolish means test for Carer's Allowance,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Donald Trump calls Kamala Harris 'mentally impaired',0.0,1.0,0.0,0.0,Neutral
2024-09-30,Munster 'should be embarrassed' by display in Zebre defeat - Donncha O'Callaghan,0.355,0.645,0.0,-0.6705,Negative
2024-09-30,Saoirse Ronan and Paapa Essiedu star in The Outrun,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Community in shock after two killed in Mayo crash,0.62,0.38,0.0,-0.8689,Negative
2024-09-30,Limerick winner of Wednesday's €5.5m Lotto jackpot,0.0,0.612,0.388,0.5859,Positive
2024-09-30,Budget set to include two double child benefit payments,0.0,0.727,0.273,0.4588,Positive
2024-09-30,Impact of multinationals windfall clearer as Budget looms,0.186,0.814,0.0,-0.1531,Negative
2024-09-30,What are the key areas of debate ahead of Budget 2025?,0.0,1.0,0.0,0.0,Neutral
2024-09-30,"Labour says it will fund 6,000 public childcare places",0.0,1.0,0.0,0.0,Neutral
2024-09-30,More leaks on what the budget will contain,0.0,1.0,0.0,0.0,Neutral
2024-09-30,How do you want the Government to spend Apple's €14 billion?,0.0,0.885,0.115,0.0772,Positive
2024-09-30,What do young people in Ireland's youngest town want from Budget 2025?,0.0,0.894,0.106,0.0772,Positive
2024-09-30,Watch: Focus on the cost of living ahead of budget,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Watch: Young baker hopes to turn TikTok success into shop,0.0,0.552,0.448,0.7579,Positive
2024-09-30,Older people focus on health and pension ahead of Budget,0.0,1.0,0.0,0.0,Neutral
2024-09-30,What's on farmers' minds ahead of Budget 2025?,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Affordable housing among budget issues for Cork people,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Hamas leader in Lebanon killed in Israeli strike,0.5,0.5,0.0,-0.7184,Negative
2024-09-30,Maximum sentences for knife-related offences increases,0.316,0.526,0.158,-0.296,Negative
2024-09-30,US singer-songwriter Kris Kristofferson dies at 88,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Free schoolbook scheme set to be extended to senior cycle,0.0,0.732,0.268,0.5106,Positive
2024-09-30,Ireland stun world champions New Zealand in WXV1,0.0,0.673,0.327,0.5267,Positive
2024-09-30,Ireland stun world champions New Zealand in WXV1,0.0,0.673,0.327,0.5267,Positive
2024-09-30,Emotional Healy soaks up his 'special moment',0.0,0.538,0.462,0.5106,Positive
2024-09-30,O'Gorman settling the score for girls in sport,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Ten Hag insists United future not weighing on his mind,0.0,0.763,0.237,0.4215,Positive
2024-09-30,Ten Hag under pressure as United crumble against Spurs,0.183,0.583,0.233,0.1531,Positive
2024-09-30,Discussions begin on development of Co Kerry lighthouse,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Kerry joint-managers Quill and Long opt to step aside,0.0,1.0,0.0,0.0,Neutral
2024-09-30,'I wanted me back' - Armagh teacher to powerlift for NI,0.0,1.0,0.0,0.0,Neutral
2024-09-30,Cruise ship passengers find love marooned in Belfast,0.0,0.625,0.375,0.6369,Positive
2024-09-30,"Older people focus on health, pension ahead of Budget",0.0,1.0,0.0,0.0,Neutral
2024-09-30,"Live

UN: 100,000 flee Lebanon for Syria amid Israeli strikes",0.217,0.783,0.0,-0.3612,Negative
2024-09-30,Hamas leader in Lebanon killed in Israeli strike,0.5,0.5,0.0,-0.7184,Negative
